reactant, product, transition_state, rxn_id, es_id
3,4,None,6649c99486b7e549636e4424,661661120673b72785156f0b
4,5,6,6649c99486b7e549636e4426,6650cbae4640597cd479439c
4,7,8,6649c99486b7e549636e4428,66503c6c5029f9737d0b27fc
11,12,None,6649c99486b7e549636e442a,66169adf13beac7274797cbe
12,13,14,6649c99486b7e549636e442c,664b53ee9298f002d618e46f
15,18,None,6649c99486b7e549636e442e,6616b40ad3e5e66bba1dab4f
4,15,19,6649c99486b7e549636e4430,666e4f0edf2514688c6e95b0
4,13,20,6649c99486b7e549636e4432,664ee223ce2533010016a9d9
13,21,22,6649c99486b7e549636e4434,6617063a76ab0b7f366f65b8
23,26,None,6649c99486b7e549636e4436,66170713dd59ae096b23888b
3,23,27,6649c99486b7e549636e4438,66170713dd59ae096b23888c
3,28,29,6649c99486b7e549636e443a,6657f0398cd161106b207a45
13,30,31,6649c99486b7e549636e443c,66700c4804fb3a64a469c0e5
33,34,None,6649c99486b7e549636e443e,66173cc19afba012f5618067
35,38,None,6649c99486b7e549636e4440,66173cc19afba012f5618068
34,35,39,6649c99486b7e549636e4442,664d0ab8d578bf0c45663596
4,40,41,6649c99486b7e549636e4444,6653b9cece365e3ee94bbf0c
13,7,42,6649c99486b7e549636e4446,66178969da807e2ec23d27f5
44,45,None,6649c99486b7e549636e4448,6617ae909be8b25d4c0738a7
46,50,None,6649c99486b7e549636e444a,6617ae909be8b25d4c0738a8
45,46,51,6649c99486b7e549636e444c,6617ae909be8b25d4c0738a9
54,28,55,6649c99486b7e549636e444e,664b7f7b60868f36244a77b5
57,58,None,6649c99486b7e549636e4450,6617c0fd9407da108c1fb0cb
58,59,60,6649c99486b7e549636e4452,6617c0fd9407da108c1fb0cc
61,63,None,6649c99486b7e549636e4454,6617c40c02dc207e8e3f1685
4,61,64,6649c99486b7e549636e4456,6617c40c02dc207e8e3f1686
65,15,66,6649c99586b7e549636e4458,6617ed8d14decc26ab596cdc
67,70,None,6649c99586b7e549636e445a,6617f8a465cff17e673aefce
28,67,71,6649c99586b7e549636e445c,6617f8a465cff17e673aefcf
73,74,None,6649c99586b7e549636e445e,6617fb5d61c80f43d12a1ceb
74,28,75,6649c99586b7e549636e4460,66557533b48881126738181f
77,78,None,6649c99586b7e549636e4462,66180852dc0554552c6c36ab
78,79,80,6649c99586b7e549636e4464,66180852dc0554552c6c36ac
74,81,82,6649c99586b7e549636e4466,66706068d1e62d4a446422ef
83,85,None,6649c99586b7e549636e4468,66183a4d135fe12a735062e5
78,83,86,6649c99586b7e549636e446a,66183a4d135fe12a735062e6
23,79,87,6649c99586b7e549636e446c,662c5872f9195122e44b2f6c
89,90,None,6649c99586b7e549636e446e,66185e7c3db421374d549cfe
90,54,91,6649c99586b7e549636e4470,66185e7c3db421374d549cff
74,92,None,6649c99586b7e549636e4472,66188e3d139e0b41c7304bae
28,15,93,6649c99586b7e549636e4474,6651aecc49c7c561960b9e59
13,79,94,6649c99586b7e549636e4476,6618d1d48bebc03d0c7a0c82
95,40,96,6649c99586b7e549636e4478,664c4a43440d1f4e4a4ec065
15,61,97,6649c99586b7e549636e447a,661936469df5b71e3d350a99
4,28,98,6649c99586b7e549636e447c,66574c9bd525a81f641b0289
100,101,None,6649c99586b7e549636e447e,661938e3fb2a6d09ec6b951b
101,103,104,6649c99586b7e549636e4480,661938e3fb2a6d09ec6b951c
40,15,105,6649c99586b7e549636e4482,66199f41eb5a335f2a3a795c
4,81,106,6649c99586b7e549636e4484,666f3e1b481f544ad50e440c
23,83,107,6649c99586b7e549636e4486,6619806b655287087504af46
108,110,None,6649c99586b7e549636e4488,6619e3799869be746b78e26e
28,108,111,6649c99586b7e549636e448a,664db81704e55b16965cb46f
114,115,None,6649c99586b7e549636e448c,661b0dd096a96a34e4693831
116,117,None,6649c99586b7e549636e448e,661b0dd096a96a34e4693832
115,116,118,6649c99586b7e549636e4490,661b0dd096a96a34e4693833
3,61,119,6649c99586b7e549636e4492,664b61322ebded7b7c7665d2
122,123,None,6649c99586b7e549636e4494,6627414cbc60085c513983eb
123,13,124,6649c99586b7e549636e4496,664bac82e291297fae308fdf
127,128,None,6649c99586b7e549636e4498,66276754744ee870aa48df2b
128,40,129,6649c99586b7e549636e449a,66276754744ee870aa48df2c
13,130,131,6649c99586b7e549636e449c,66276ff8e78bcd6da35f5fe8
79,15,132,6649c99586b7e549636e449e,664d34da517c7c2d8440a919
133,134,135,6649c99686b7e549636e44a0,6627c4d6eb896e27ee1c0f22
137,138,None,6649c99686b7e549636e44a2,6629f6cc48660261f530af68
138,139,140,6649c99686b7e549636e44a4,6629f6cc48660261f530af69
141,79,142,6649c99686b7e549636e44a6,6629ff6e48727b1fd1437562
145,146,None,6649c99686b7e549636e44a8,662a1c437998766e18049ba1
147,148,None,6649c99686b7e549636e44aa,662a1c437998766e18049ba2
146,147,149,6649c99686b7e549636e44ac,662a1c437998766e18049ba3
134,150,151,6649c99686b7e549636e44ae,662a2eff881fb577075a9185
4,134,152,6649c99686b7e549636e44b0,662a477c035c4a2356020259
154,155,None,6649c99686b7e549636e44b2,662a597cb779eb0179465e3b
155,156,157,6649c99686b7e549636e44b4,662a597cb779eb0179465e3c
13,158,159,6649c99686b7e549636e44b6,666fd0a86a7e6e2f27416808
160,79,161,6649c99686b7e549636e44b8,662a864fca3b3c64a5151ce2
83,162,163,6649c99686b7e549636e44ba,662a90750d37ac3e1d01dd0c
164,165,166,6649c99686b7e549636e44bc,662ac763f9813c224642f225
168,169,None,6649c99686b7e549636e44be,662b61ed84915505db5fbe71
170,103,None,6649c99686b7e549636e44c0,662b61ed84915505db5fbe72
169,170,171,6649c99686b7e549636e44c2,662b61ed84915505db5fbe73
162,23,172,6649c99686b7e549636e44c4,662b6346d22b35144b34c8b9
4,173,174,6649c99686b7e549636e44c6,662b75a1ced0bf09f61653dc
13,61,175,6649c99686b7e549636e44c8,664ccd2df01cdf05694befa2
28,176,177,6649c99686b7e549636e44ca,662ba18549ed8e296d05df58
178,179,None,6649c99686b7e549636e44cc,662bb3512bd9d05d2f36e95e
4,178,180,6649c99686b7e549636e44ce,662bb3512bd9d05d2f36e95f
79,181,182,6649c99686b7e549636e44d0,662cdfb0a3233514b8465e35
184,185,None,664cc08e86b7e53d14486d14,664b77bd332c84724605c538
185,186,187,664cc08e86b7e53d14486d16,664b77bd332c84724605c539
13,188,189,664cc08e86b7e53d14486d18,66541c2c2862816a6e774505
191,178,None,664cc08e86b7e53d14486d1a,664ba2f2f4920c5612230dad
192,193,None,664cc08e86b7e53d14486d1c,664ba2f2f4920c5612230dae
178,192,194,664cc08e86b7e53d14486d1e,664ba2f2f4920c5612230daf
15,74,195,664cc08e86b7e53d14486d20,664c3872bb2fa2035c6b1a76
45,95,196,664cc08e86b7e53d14486d22,6653f35135a49b630e2730dc
197,199,None,664cc08e86b7e53d14486d24,664c001f0e3c466e567c310e
200,197,201,664cc08e86b7e53d14486d26,664d41f17c7fdc6bcc0f1c9f
95,202,203,664cc08f86b7e53d14486d28,664c1e18922a3467ee003b22
15,138,204,664cc08f86b7e53d14486d2a,664c2cadc888fd715b5ce299
205,207,None,664cc08f86b7e53d14486d2c,664c313f63020f02cd3fd89b
28,205,208,664cc08f86b7e53d14486d2e,664c313f63020f02cd3fd89c
209,210,None,664cc08f86b7e53d14486d30,664c3efd65f8344aec1540bb
79,209,211,664cc08f86b7e53d14486d32,664c3efd65f8344aec1540bc
81,59,212,664cc08f86b7e53d14486d34,6657e1ea325d532f204d53c2
4,83,213,664cc08f86b7e53d14486d36,664c6169e41907078e4c1933
169,209,214,664cc08f86b7e53d14486d38,664c7d3d1e4dd65364494b23
4,215,216,664cc08f86b7e53d14486d3a,664c8c2d22185832c34026ac
217,141,218,664cc08f86b7e53d14486d3c,664c95d5b07ce93a7a597228
220,221,None,664cc08f86b7e53d14486d3e,664ca4fc841e166249285d6b
221,28,222,664cc08f86b7e53d14486d40,664ca4fc841e166249285d6c
28,81,223,664cc08f86b7e53d14486d42,664cabe210d75313e92b9235
224,35,None,664ddaef86b7e501e82f1024,664d0ab8d578bf0c45663594
225,160,226,664ddaef86b7e501e82f1026,664d3001bfa76a449e2919b8
227,197,None,664ddaef86b7e501e82f1028,664d41f17c7fdc6bcc0f1c9e
12,228,None,66503d8486b7e5383810a814,664f800bc4150518ef59565e
230,12,231,66503d8486b7e5383810a816,664fad413272d0058a1943a2
197,79,232,66503d8486b7e5383810a818,664fcdd58c449d647867c34f
156,197,233,66503d8486b7e5383810a81a,664fe8e38516442f4e2f9772
197,13,234,66503d8486b7e5383810a81c,66501ecdb5d1514ba546119f
59,79,235,66503d8486b7e5383810a81e,664feee498650b13de6c4045
237,238,None,66503d8586b7e5383810a820,665025538e7db0182d23426b
238,239,240,66503d8586b7e5383810a822,665025538e7db0182d23426c
79,28,241,66503d8586b7e5383810a824,66502e8314e4b72c710ed2c2
3,243,244,66503df286b7e5383810a826,66503de934b385529a2a99de
245,246,None,66543e3686b7e558597e3a04,665047635145687355162e68
246,247,248,66543e3686b7e558597e3a06,665047635145687355162e69
249,250,251,66543e3686b7e558597e3a08,6650558c8cd7b02f66269ca2
40,28,252,66543e3686b7e558597e3a0a,66505f1096c69d0fbc403de2
254,256,257,66543e3686b7e558597e3a0c,665063931c1e8b47ad022a8b
78,258,None,66543e3686b7e558597e3a0e,66507d9a0be1da63ab44befe
260,261,None,66543e3786b7e558597e3a10,6650912f77d663426663d55b
261,262,263,66543e3786b7e558597e3a12,6650912f77d663426663d55c
28,160,264,66543e3786b7e558597e3a14,6650c6c07270f7248966c978
265,267,None,66543e3786b7e558597e3a16,6650f41922bdc441280827b1
268,265,269,66543e3786b7e558597e3a18,6650f41922bdc441280827b2
58,271,None,66543e3786b7e558597e3a1a,665102ec2ac6122dce7e41d5
74,58,272,66543e3786b7e558597e3a1c,665102ec2ac6122dce7e41d6
273,275,276,66543e3886b7e558597e3a1e,6651798bc0167d08527379eb
4,277,278,66543e3886b7e558597e3a20,6651a31c9e70f04e9a2dedfc
280,281,None,66543e3886b7e558597e3a22,6651c998c7c39355ee6e9271
281,283,284,66543e3886b7e558597e3a24,6651c998c7c39355ee6e9272
286,287,None,66543e3886b7e558597e3a26,6653d02f73e6ab0bf85fd634
287,58,288,66543e3886b7e558597e3a28,6653d02f73e6ab0bf85fd636
287,28,289,66543e3986b7e558597e3a2a,66543355ef07f155fa573dd9
15,59,290,66543e3986b7e558597e3a2c,6653f8c0dd13770a396cb159
4,260,291,66543e3986b7e558597e3a2e,665414e7f4c32c1f9d0d9f9f
15,58,292,66543e3986b7e558597e3a30,665420e421d62e79545d8b96
294,265,None,66543e3986b7e558597e3a32,6654224433269264b35759fe
265,34,295,66543e3986b7e558597e3a34,6654224433269264b3575a00
297,298,None,66543e3986b7e558597e3a36,66542d933e965652826675be
299,301,None,66543e3986b7e558597e3a38,66542d933e965652826675bf
298,299,302,66543e3986b7e558597e3a3a,66542d933e965652826675c0
